Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Béni Mellal-Khénifra,Rural,Masculin,Âge moyen singulier au mariage,31.9
Béni Mellal-Khénifra,Ensemble,Ensemble,Part des célibataires parmi les 15 ans et plus (%),30.8
Béni Mellal-Khénifra,Rural,Masculin,Part de la population de moins de 15 ans (%),30.2
Béni Mellal-Khénifra,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),29.3
Béni Mellal-Khénifra,Rural,Ensemble,Part de la population de moins de 15 ans (%),29.1
Béni Mellal-Khénifra,Urbain,Ensemble,Âge moyen singulier au mariage,28.7
Béni Mellal-Khénifra,Ensemble,Masculin,Part de la population de moins de 15 ans (%),28.7
Béni Mellal-Khénifra,Rural,Féminin,Part de la population de moins de 15 ans (%),28.1
Béni Mellal-Khénifra,Ensemble,Ensemble,Âge moyen singulier au mariage,27.9
Béni Mellal-Khénifra,Urbain,Masculin,Part de la population de moins de 15 ans (%),27.2
Béni Mellal-Khénifra,Ensemble,Ensemble,Part de la population de moins de 15 ans (%),27.1
Béni Mellal-Khénifra,Rural,Ensemble,Âge moyen singulier au mariage,27.1
Béni Mellal-Khénifra,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),26.6
Béni Mellal-Khénifra,Ensemble,Féminin,Part de la population de moins de 15 ans (%),25.6
Béni Mellal-Khénifra,Urbain,Ensemble,Part de la population de moins de 15 ans (%),25.2
Béni Mellal-Khénifra,Urbain,Féminin,Âge moyen singulier au mariage,24.7
Béni Mellal-Khénifra,Ensemble,Féminin,Part des célibataires parmi les 15 ans et plus (%),24.2
Béni Mellal-Khénifra,Ensemble,Féminin,Âge moyen singulier au mariage,23.5
Béni Mellal-Khénifra,Urbain,Féminin,Part de la population de moins de 15 ans (%),23.3
Béni Mellal-Khénifra,Rural,Féminin,Âge moyen singulier au mariage,22.3
Béni Mellal-Khénifra,Rural,Féminin,Part des célibataires parmi les 15 ans et plus (%),21.5
Béni Mellal-Khénifra,Urbain,Féminin,Part de la population de 60 ans et plus (%),15.9
Béni Mellal-Khénifra,Urbain,Masculin,Part de la population de 60 ans et plus (%),15.8
Béni Mellal-Khénifra,Urbain,Ensemble,Part de la population de 60 ans et plus (%),15.8
Béni Mellal-Khénifra,Ensemble,Féminin,Part de la population de 60 ans et plus (%),15.4
Béni Mellal-Khénifra,Ensemble,Ensemble,Part de la population de 60 ans et plus (%),15.2
Béni Mellal-Khénifra,Ensemble,Masculin,Part de la population de 60 ans et plus (%),15.0
Béni Mellal-Khénifra,Rural,Féminin,Part de la population de 60 ans et plus (%),14.9
Béni Mellal-Khénifra,Rural,Ensemble,Part de la population de 60 ans et plus (%),14.6
Béni Mellal-Khénifra,Rural,Masculin,Part de la population de 60 ans et plus (%),14.3
Béni Mellal-Khénifra,Urbain,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),11.6
Béni Mellal-Khénifra,Ensemble,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),11.4
Béni Mellal-Khénifra,Rural,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),11.1
Béni Mellal-Khénifra,Urbain,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),6.6
Béni Mellal-Khénifra,Ensemble,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),6.4
Béni Mellal-Khénifra,Urbain,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),6.2
Béni Mellal-Khénifra,Rural,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),6.1
Béni Mellal-Khénifra,Ensemble,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),5.1
Béni Mellal-Khénifra,Urbain,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),4.5
Béni Mellal-Khénifra,Ensemble,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),3.7
Béni Mellal-Khénifra,Rural,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),3.7
Béni Mellal-Khénifra,Rural,Ensemble,Descendance finale des femmes,3.3
Béni Mellal-Khénifra,Rural,Féminin,Descendance finale des femmes,3.3
Béni Mellal-Khénifra,Ensemble,Féminin,Descendance finale des femmes,2.9
Béni Mellal-Khénifra,Ensemble,Ensemble,Descendance finale des femmes,2.9
Béni Mellal-Khénifra,Rural,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),2.8
Béni Mellal-Khénifra,Urbain,Féminin,Descendance finale des femmes,2.6
Béni Mellal-Khénifra,Urbain,Ensemble,Descendance finale des femmes,2.6
Béni Mellal-Khénifra,Urbain,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),2.5
Béni Mellal-Khénifra,Rural,Féminin,Indicateur conjoncturel de fécondité,2.2
Béni Mellal-Khénifra,Rural,Ensemble,Indicateur conjoncturel de fécondité,2.2
Béni Mellal-Khénifra,Ensemble,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),2.1
Béni Mellal-Khénifra,Ensemble,Ensemble,Indicateur conjoncturel de fécondité,1.95
Béni Mellal-Khénifra,Ensemble,Féminin,Indicateur conjoncturel de fécondité,1.95
Béni Mellal-Khénifra,Urbain,Ensemble,Indicateur conjoncturel de fécondité,1.73
Béni Mellal-Khénifra,Urbain,Féminin,Indicateur conjoncturel de fécondité,1.73
Béni Mellal-Khénifra,Rural,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),1.7
Béni Mellal-Khénifra,Urbain,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),1.0
Béni Mellal-Khénifra,Ensemble,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),1.0
Béni Mellal-Khénifra,Rural,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),1.0
