Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Fès-Meknès,Rural,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),9.3
Fès-Meknès,Urbain,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),5.5
Fès-Meknès,Urbain,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),5.4
Fès-Meknès,Ensemble,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),5.3
Fès-Meknès,Rural,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),5.1
Fès-Meknès,Ensemble,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),4.6
Fès-Meknès,Urbain,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),3.9
Fès-Meknès,Ensemble,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),3.3
Fès-Meknès,Rural,Féminin,Descendance finale des femmes,3.2
Fès-Meknès,Rural,Ensemble,Descendance finale des femmes,3.2
Fès-Meknès,Rural,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),2.9
Fès-Meknès,Ensemble,Ensemble,Descendance finale des femmes,2.8
Fès-Meknès,Ensemble,Féminin,Descendance finale des femmes,2.8
Fès-Meknès,Urbain,Ensemble,Descendance finale des femmes,2.6
Fès-Meknès,Urbain,Féminin,Descendance finale des femmes,2.6
Fès-Meknès,Rural,Ensemble,Indicateur conjoncturel de fécondité,2.46
Fès-Meknès,Rural,Féminin,Indicateur conjoncturel de fécondité,2.46
Fès-Meknès,Urbain,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),2.2
Fès-Meknès,Rural,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),2.2
Fès-Meknès,Ensemble,Féminin,Indicateur conjoncturel de fécondité,2.02
Fès-Meknès,Ensemble,Ensemble,Indicateur conjoncturel de fécondité,2.02
Fès-Meknès,Ensemble,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),1.9
Fès-Meknès,Urbain,Féminin,Indicateur conjoncturel de fécondité,1.8
Fès-Meknès,Urbain,Ensemble,Indicateur conjoncturel de fécondité,1.8
Fès-Meknès,Rural,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),1.4
Fès-Meknès,Ensemble,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),1.0
Fès-Meknès,Urbain,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),1.0
Fès-Meknès,Rural,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),0.9
